group,policy,horizon_min,count,mean,median,win_rate,profit_factor,gross_profit,gross_loss,q10,q90,best,worst,top1_positive_share,top2_positive_share,mean_without_best,mean_without_worst
family:impulse_only_2atr,delayed_continuation,120,71,-0.0019258726476078674,-0.0004177211350754,0.4788732394366197,0.7134709672126304,0.3404815516067205,0.47721850958687906,-0.0147197623368262,0.0143245686325006,0.0359035320088299,-0.0826739970437613,0.10544927277088109,0.2051555349307858,-0.0024662927141284067,-0.0007723280133771043
family:impulse_only_2atr,delayed_continuation,240,71,-0.0007550588405368593,-0.0009406612058149,0.43661971830985913,0.898641355948321,0.4752966515157274,0.5289058291938444,-0.0193919427900968,0.0274365048473708,0.0517441890779155,-0.0881037216755999,0.10886714415702822,0.19349753655778532,-0.0015050480965147503,0.0004927791999640411
family:impulse_only_2atr,delayed_continuation,480,71,0.0008323737705645401,-0.0013855967078191,0.4507042253521127,1.0730009166975938,0.868657381401019,0.8095588436909367,-0.0327579668348953,0.0326278577033745,0.1578035540835572,-0.1160022971255412,0.18166374621607756,0.27074550591354685,-0.001410071662478213,0.0025014404976517646
family:impulse_only_2atr,delayed_continuation,720,71,0.002539061569618973,0.0012812057030131,0.5070422535211268,1.1837237268993464,1.161493241545575,0.9812198701026278,-0.0357558621725847,0.051969035863062,0.1925292372048626,-0.1853410587873192,0.16576010115105613,0.296089185941296,-0.0001750837965987918,0.005223063289003805
family:impulse_only_2atr,delayed_reversal,120,71,-0.001874127352392121,-0.0033822788649245,0.4084507042253521,0.7266463392275476,0.353716764198325,0.48677980621816547,-0.0181245686325006,0.0109197623368262,0.0788739970437613,-0.0397035320088299,0.22298631285549572,0.40058660776420674,-0.003027671986622884,-0.001333707285871581
family:impulse_only_2atr,delayed_reversal,240,71,-0.0030449411594631265,-0.002859338794185,0.4225352112676056,0.6500388398822471,0.40156579458137476,0.6177566169032568,-0.0312365048473708,0.0155919427900968,0.0843037216755999,-0.0555441890779155,0.2099375066630987,0.32708909099872,-0.004292779199964026,-0.0022949519034852358
family:impulse_only_2atr,delayed_reversal,480,71,-0.004632373770564529,-0.0024144032921808,0.43661971830985913,0.6724846139072217,0.6753246276007279,1.0042231653108096,-0.0364278577033745,0.0289579668348953,0.1122022971255412,-0.1616035540835573,0.16614572094633953,0.2968703987214759,-0.006301440497651756,-0.0023899283375217783
family:impulse_only_2atr,delayed_reversal,720,71,-0.006339061569618971,-0.0050812057030131,0.4507042253521127,0.6549819241251781,0.8544187781400823,1.3044921495830295,-0.055769035863062,0.0319558621725847,0.1815410587873192,-0.1963292372048626,0.2124731612084905,0.36234980409340417,-0.0090230632890038,-0.003624916203401203
family:public_vectorized_no_ema,direct_continuation,120,153,0.004087454201986846,0.0009259692584908,0.5424836601307189,1.740047685749077,1.4704348116280253,0.845054318724038,-0.0158153390514971,0.024719717906558157,0.1729920998311127,-0.1316102809181448,0.1176469017620581,0.18420032496375585,0.0029762394281110183,0.004980202459356134
family:public_vectorized_no_ema,direct_continuation,240,153,0.004289147114124781,0.0020018495780467,0.5098039215686274,1.7269548673288924,1.558963374761573,0.9027238663004816,-0.01441204912080052,0.03083213432403001,0.1242024582473258,-0.1550427757896575,0.07966990133191632,0.12773866836804063,0.0035002437514063526,0.005337383449018084
